epoch,Loss/Train,Loss/Validation,Metrics/Accuracy,Metrics/Precision,Metrics/Recall,Metrics/F1_Score,Metrics/AUC,Learning_Rate
0,0.116463303565979,0.036421675235033,0.987992525100708,0.9926758408546448,0.9832395315170288,0.9879351258277892,0.999316930770874,4.999999873689376e-05
1,0.0334011130034923,0.0196296572685241,0.9944339990615844,0.9962339997291564,0.9926204085350036,0.9944239258766174,0.9997297525405884,4.999999873689376e-05
2,0.0193631369620561,0.0151016097515821,0.995309591293335,0.9968632459640504,0.9937461018562316,0.9953022003173828,0.999831199645996,4.999999873689376e-05
3,0.0125074014067649,0.0121232876554131,0.9967479705810548,0.9982436299324036,0.9952470064163208,0.9967430830001832,0.9998486638069152,4.999999873689376e-05
4,0.0094736982136964,0.0126484539359807,0.9959974884986876,0.9978656768798828,0.9941213130950928,0.995989978313446,0.9998441338539124,4.999999873689376e-05
5,0.0071926084347069,0.0117093473672866,0.996435284614563,0.9969947338104248,0.995872437953949,0.9964332580566406,0.9998152256011964,4.999999873689376e-05
6,0.0053693582303822,0.0103040719404816,0.9966228604316713,0.9966228604316713,0.9966228604316713,0.9966228604316713,0.9999148845672609,4.999999873689376e-05
7,0.0044959192164242,0.0110804447904229,0.9964978098869324,0.9967463612556458,0.99624764919281,0.9964969158172609,0.999820590019226,4.999999873689376e-05
8,0.0038445764221251,0.0097032096236944,0.9971231818199158,0.996502161026001,0.997748613357544,0.9971250295639038,0.9998824000358582,4.999999873689376e-05
9,0.0034376722760498,0.0096453484147787,0.9973108172416688,0.9977466464042664,0.9968730211257936,0.9973096251487732,0.999892234802246,4.999999873689376e-05
10,0.0032687135972082,0.0111189009621739,0.9969356060028076,0.9981193542480468,0.9957473278045654,0.9969319105148317,0.9998263716697692,
11,0.0029449670109897,0.0103326579555869,0.997373342514038,0.9972489476203918,0.9974984526634216,0.9973737001419068,0.9998835325241088,
12,0.0027908033225685,0.0115233100950717,0.9967479705810548,0.998493790626526,0.9949968457221984,0.9967422485351562,0.9998321533203124,
13,0.0023414511233568,0.0093669602647423,0.997560977935791,0.9973743557929992,0.997748613357544,0.9975614547729492,0.999863862991333,
14,0.0030920153949409,0.0087201371788978,0.9976860284805298,0.9971264600753784,0.9982489347457886,0.9976873397827148,0.9999496340751648,
15,0.0029412505682557,0.0100237866863608,0.996998131275177,0.998119592666626,0.995872437953949,0.9969947338104248,0.9999106526374816,
16,0.0016529022250324,0.0142542598769068,0.9959974884986876,0.9982410073280334,0.9937461018562316,0.9959884881973268,0.9998549818992616,
17,0.0021407245658338,0.0090115768834948,0.9972482919692992,0.9971238970756532,0.997373342514038,0.997248649597168,0.9999622106552124,
18,0.001907785073854,0.0080428160727024,0.9976860284805298,0.9971264600753784,0.9982489347457886,0.9976873397827148,0.999946653842926,
19,0.0018178274622187,0.0066778645850718,0.998123824596405,0.9979992508888244,0.9982489347457886,0.998124063014984,0.9999759793281556,
